E,T,group
0,1.0,alluvial_fan
0,1.0,alluvial_fan
0,1.0,alluvial_fan
0,1.0,alluvial_fan
1,1.0,alluvial_fan
1,1.0,alluvial_fan
1,1.0,alluvial_fan
1,1.0,alluvial_fan
1,1.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,2.0,alluvial_fan
1,3.0,alluvial_fan
1,3.0,alluvial_fan
1,3.0,alluvial_fan
1,3.0,alluvial_fan
1,3.0,alluvial_fan
1,3.0,alluvial_fan
1,4.0,alluvial_fan
1,4.0,alluvial_fan
1,4.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
0,5.0,alluvial_fan
1,5.0,alluvial_fan
1,5.0,alluvial_fan
1,5.0,alluvial_fan
1,7.0,alluvial_fan
1,7.0,alluvial_fan
1,7.0,alluvial_fan
1,8.0,alluvial_fan
1,9.0,alluvial_fan
0,1.0,basin_trough
0,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
1,1.0,basin_trough
0,2.0,basin_trough
0,2.0,basin_trough
1,2.0,basin_trough
1,2.0,basin_trough
1,2.0,basin_trough
1,2.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,3.0,basin_trough
1,4.0,basin_trough
1,4.0,basin_trough
1,4.0,basin_trough
1,4.0,basin_trough
1,4.0,basin_trough
0,5.0,basin_trough
0,5.0,basin_trough
0,5.0,basin_trough
0,5.0,basin_trough
0,5.0,basin_trough
1,5.0,basin_trough
1,6.0,basin_trough
1,6.0,basin_trough
1,8.0,basin_trough
1,9.0,basin_trough
1,9.0,basin_trough
0,10.0,basin_trough
0,10.0,basin_trough
0,10.0,basin_trough
0,10.0,basin_trough
1,12.0,basin_trough
1,14.0,basin_trough
0,15.0,basin_trough
1,15.0,basin_trough
1,17.0,basin_trough
1,23.0,basin_trough
