"","l","u","grp"
"1",0,381,"ce"
"2",0,477,"ce"
"3",0,485,"ce"
"4",0,515,"ce"
"5",0,539,"ce"
"6",0,563,"ce"
"7",0,565,"ce"
"8",0,582,"ce"
"9",0,603,"ce"
"10",0,616,"ce"
"11",0,624,"ce"
"12",0,650,"ce"
"13",0,651,"ce"
"14",0,656,"ce"
"15",0,659,"ce"
"16",0,672,"ce"
"17",0,679,"ce"
"18",0,698,"ce"
"19",0,702,"ce"
"20",0,709,"ce"
"21",0,723,"ce"
"22",0,731,"ce"
"23",0,775,"ce"
"24",0,779,"ce"
"25",0,795,"ce"
"26",0,811,"ce"
"27",0,839,"ce"
"28",45,Inf,"ce"
"29",198,Inf,"ce"
"30",215,Inf,"ce"
"31",217,Inf,"ce"
"32",257,Inf,"ce"
"33",262,Inf,"ce"
"34",266,Inf,"ce"
"35",371,Inf,"ce"
"36",431,Inf,"ce"
"37",447,Inf,"ce"
"38",454,Inf,"ce"
"39",459,Inf,"ce"
"40",475,Inf,"ce"
"41",479,Inf,"ce"
"42",484,Inf,"ce"
"43",500,Inf,"ce"
"44",502,Inf,"ce"
"45",503,Inf,"ce"
"46",505,Inf,"ce"
"47",508,Inf,"ce"
"48",516,Inf,"ce"
"49",531,Inf,"ce"
"50",541,Inf,"ce"
"51",553,Inf,"ce"
"52",556,Inf,"ce"
"53",570,Inf,"ce"
"54",572,Inf,"ce"
"55",575,Inf,"ce"
"56",577,Inf,"ce"
"57",585,Inf,"ce"
"58",588,Inf,"ce"
"59",594,Inf,"ce"
"60",600,Inf,"ce"
"61",601,Inf,"ce"
"62",608,Inf,"ce"
"63",614,Inf,"ce"
"64",616,Inf,"ce"
"65",632,Inf,"ce"
"66",632,Inf,"ce"
"67",638,Inf,"ce"
"68",642,Inf,"ce"
"69",642,Inf,"ce"
"70",642,Inf,"ce"
"71",644,Inf,"ce"
"72",644,Inf,"ce"
"73",647,Inf,"ce"
"74",647,Inf,"ce"
"75",653,Inf,"ce"
"76",659,Inf,"ce"
"77",660,Inf,"ce"
"78",662,Inf,"ce"
"79",663,Inf,"ce"
"80",667,Inf,"ce"
"81",667,Inf,"ce"
"82",673,Inf,"ce"
"83",673,Inf,"ce"
"84",677,Inf,"ce"
"85",689,Inf,"ce"
"86",693,Inf,"ce"
"87",718,Inf,"ce"
"88",720,Inf,"ce"
"89",721,Inf,"ce"
"90",728,Inf,"ce"
"91",760,Inf,"ce"
"92",762,Inf,"ce"
"93",773,Inf,"ce"
"94",777,Inf,"ce"
"95",815,Inf,"ce"
"96",886,Inf,"ce"
"97",0,546,"ge"
"98",0,609,"ge"
"99",0,692,"ge"
"100",0,692,"ge"
"101",0,710,"ge"
"102",0,752,"ge"
"103",0,773,"ge"
"104",0,781,"ge"
"105",0,782,"ge"
"106",0,789,"ge"
"107",0,808,"ge"
"108",0,810,"ge"
"109",0,814,"ge"
"110",0,842,"ge"
"111",0,846,"ge"
"112",0,851,"ge"
"113",0,871,"ge"
"114",0,873,"ge"
"115",0,876,"ge"
"116",0,888,"ge"
"117",0,888,"ge"
"118",0,890,"ge"
"119",0,894,"ge"
"120",0,896,"ge"
"121",0,911,"ge"
"122",0,913,"ge"
"123",0,914,"ge"
"124",0,914,"ge"
"125",0,916,"ge"
"126",0,921,"ge"
"127",0,921,"ge"
"128",0,926,"ge"
"129",0,936,"ge"
"130",0,945,"ge"
"131",0,1008,"ge"
"132",412,Inf,"ge"
"133",524,Inf,"ge"
"134",647,Inf,"ge"
"135",648,Inf,"ge"
"136",695,Inf,"ge"
"137",785,Inf,"ge"
"138",814,Inf,"ge"
"139",817,Inf,"ge"
"140",851,Inf,"ge"
"141",880,Inf,"ge"
"142",913,Inf,"ge"
"143",942,Inf,"ge"
"144",986,Inf,"ge"
